# form	pos	lemma	sense	freq
འབོ་བྲེའི་འཁྲོལ་འཛིན			previously at the time of lha ldan smon lam in common people's houses 'bo and bre measures la 'jal gshor [measure] bed gcod btang 'thus tshogs chen zhal ngo'i sa nas nyos pa'i 'khrol 'dzin
འབོ་ལོག་བྲེ་ལོག			[R] wrong bo [volume of grain etc.] wrong bre [fluid measure like a liter]. ['bo log bre log gi thog nas 'bru bun gtong sdud kyis bshu gzhog byed mkhan byung, ] wrong bo [volume of grain etc.] wrong bre [fluid measure like a liter]. * wrong bo * wrong bre
འབོ་བྲེ་ལ			'bo bre pass [in the si khron province rnga ba a powerful divine fortress pass]
འབོ་ཁ་བ			measurer of 'bo [of grain]
འབོད			call/ shout [out]
འབོད་འགུགས			summoning, calling, convening
འབོད་བརྡ			signal call/ cry, appeal
འབོད་བསྐུལ			called out encouragement, appeal, call for action
འབོད་བྱེད			invocation, excitement, incitation; invocation, excitement, incitation, interjection
འབོད་དབྱངས			lament; 1) lament; 2) wailing cry; 3) shouting, hailing
འབོད་ལན			1) answer a call; 2) 'bob; 3) tied w wool or silk thread boot's nang gon au mu su'i or foot shubs name
འབོད་པ			call
འབོད་སྒྲ			1) call, cry, interjection; 2) rnam dbye brgyad pa
འབོད་སྒྲོག			wailer, rakshasa
འབོད་སྐད			call words urging people mi la skul [, when sudden fear and danger arise, having called among the towns houses, ra mda' sbran pa]
འབོད་སྐུལ			called out encouragement, appeal, call for action
འབོད་ཚུལ			1) name; 2) title; 3) endeavor; 4) call/ cry; 5) shout/ yell
འབོད་འགུགས་བྱེད			summon, call, convene
འབོད་སློང་བྱེད			arouse, wake up, stimulate
འབོད་ལེན་སློག			respond to a call/ appeal
འབོད་བྱེད་ཀྱི་ཚིག་གྲུབ			interjectional sentence
འབོད་བརྡ་བྱེད			make a [signal call/ cry, appeal]
འབོད་དབྱངས་སྒྲོག			shout, hail
འབོད་བསྐུལ་བྱེད			call on, issue a call [for/ to]
འབོད་བསྐུལ་བྱེད་པ			call on, issue a call [for/ to]
འབོད་བསྐུལ་གདན་ཞུས			invitation
འབོད་བསྐུལ་གཏོང་བ			call on, issue a call [for/ to]
འབོད་དུ་རུང་བ			callable
འབོད་སྐུལ་གཏོང་བ			call on; call on, issue a call [for/ to]
འབོག			1) upper garment; 2) cloth wrapper [cotton, wool, etc.]
འབོག་འཇོལ			gyon 'bog ste, phyogs 'gro'i skabs mal gzan sogs 'jug snod,
འབོག་ཆེན			a kind of hat once worn by regent and top ministers
འབོག་ཆོག			conferring ritual
འབོག་ལྕག			previously Dalai Lama and srid skyong gnyis kyi gzims sgo'i che rtags dang, sgo srung gzims 'gag gis implement carried
འབོག་པ			1) release; 2) give; 3) make an effort; 4) sink/ coagulate; 5) fall down on; 6) be rooted out/ uprooted; 7) be pulled out [of joint]
འབོག་རས			cotton wrapping cloth
འབོག་རྭ			deer's horn when the second branch newly arises
འབོག་སྡིག			small child back carrying gyi sgril rdzas sgrog byed hook sdig rva'i bzo shaped
འབོག་སྒྲིལ			cloth-wrapper; cloth-wrapper [made of cotton or wool sgril rdzas in which useful things are wrapped]
འབོག་ཐོ			hat; 1) by a stone mason [aar po ba] zhal ba 'chag byed flat round rocks having a wooden stick shing yu can; 2) former Tibetan government las tshan skya bo general hat yellow and flat hat
འབོག་ཏོ			1) by a stone mason [aar po ba] zhal ba 'chag byed flat round rocks having a wooden stick shing yu can , two former Tibetan government las tshan skya bo general hat yellow and flat hat
འབོག་ཚང་གཙང་པོ			{'bog tshang gtsang po} river [arising W of shan rtsa rdzong and flowing eastward into stag rtse lake]
འབོགས			give! transmit! entrust!
འབོགས་ཆོག			vow liturgy
འབོགས་པ			[past: phog],, 1) impart; 2) bestow, give, confer; 4) cross rivers/ streams
འབོགས་ཐོན			1) heighten practice; 2) strengthen; 3) utilize; 4) sharpen/ refresh practice
འབོགས་ལུང་པ			give reading transmission
