# form	pos	lemma	sense	freq
འབྲང			gtor ma, woman's breast, teat, SA brang, following
འབྲང་བ			follow, go after, bring forth, give birth to
འབྲང་རྒྱས			teat, bowl-shaped offering to spirits, woman's breast, heart-shaped gtor ma
འབྲང་ས			residence
འབྲང་གཅེས་པ			valuables, luggage
འབྲངས			follow, pursue, SA 'brang ba
འབྲས			cooked rice, paddy, rice, pupils of the eyes
འབྲས་འབྲུ			mature or fruited grain or corn
འབྲས་བཅས			subsequent results
འབྲས་བུ			result, fruit, goal, effect, harvest, consequence, outcome, consummation, situation, fruition, resultant forces, SA rnam smin gyi 'bras bu, bdag po'i 'bras bu, rgyu mthun pa'i 'bras bu, skyes bu byed pa'i 'bras bu, bral ba'i 'bras bu, reward, retribution, apple of the eye, tumor, swelling, fruiti...
འབྲས་ཆན			cooked rice
འབྲས་ཆང			rice beer; white rice beer, alcoholic drink made of fermented rice
འབྲས་ཆེན			rice gruel
འབྲས་དམར			red rice, inferior rice
འབྲས་གསུམ			3 grains
འབྲས་ཁུ			rice soup, rice water
འབྲས་ལྗོངས			valley of rice, sikkim
འབྲས་མཆོག			gourd
འབྲས་མཚུངས			rebounding argument
འབྲས་ཕྱེ			rice flour
འབྲས་རིལ			unmilled or unbroken rice, paddy
འབྲས་རྟགས			reason for cause
འབྲས་རྩམ			rice flour
འབྲས་ཤིང			fruit tree
འབྲས་ཤུན			chaff
འབྲས་སིལ			boiled rice, rice cooked with butter and mixed with sugar, rice pudding
འབྲས་སོག			rice straw
འབྲས་སྤུངས			Drepung; monastery, ancient town in orissa, Drepung monastery, dge lugs pa monastery near lhasa founded in 1416 by 'jams dbyangs chos rje bkra shis dpal ldan
འབྲས་སྟོང			unsubstantial
འབྲས་ཐུག			gruel, porridge, rice soup
འབྲས་ཚ			rice porridge
འབྲས་ཡོས			parched rice
འབྲས་ཟན			cooked rice; rice pap, cooked rice
འབྲས་ཀྱི་ཁྲག			vermilion
འབྲས་ཀྱི་ཁུ			rice water
འབྲས་ཀྱི་སྲུས			husked rice, unripe shelled grain of rice
འབྲས་ཀྱི་ཐུག་པ			rice soup
འབྲས་སོ་བ			cooked rice, parched rice
འབྲས་སོ་བོ			rice not husked
འབྲས་ལྗང་འཛུགས་པ			transplant rice shoots
འབྲས་བུ་ཆེ			vrhatphala god, great result heaven, 1 of gzugs khams gnas rigs bcu bdun
འབྲས་བུ་གསུམ			3 chief fruits (a ru ra, ba ru ra, skyu ru ra)
འབྲས་བུ་རྟག			coconut
འབྲས་བུ་ཤིང			fruit tree
འབྲས་བུ་རེ་དོགས			space of result without hope or mistrust
འབྲས་བུ་རེ་དོགས་མེད་པའི་ཀློང			1 of klong dgu
འབྲས་བུ་སེམས་ཀྱི་བྱུང་ས			Semde view that fruit is the source of mind
འབྲས་བུ་ཡོད་མཁན			fruitful
འབྲས་བུ་ལེན་པ			reap
འབྲས་བུ་སྟོན་པ			produce
འབྲས་བུ་བཏོན་ཐུབ་མཁན			efficacious
འབྲས་བུ་སྨིན་བྱེད			ripening the fruit
འབྲས་བུ་སྨིན་པ			resultant retribution
འབྲས་བུ་ཆག་མོ			fruit growing in clusters
འབྲས་བུ་མེད་པ			fruitless, barren, unfruitful
འབྲས་བུ་ལ་རྒྱུ་བཏགས་པ			regard an effect as a cause
འབྲས་བུ་དྲི་མ་མེད་པའི་རྒྱུད			Tantra of Immaculate Fruition
འབྲས་བུ་ཡོངས་ཅན			not barren, woman who gives birth to many children, fruitful
འབྲས་ཟླུམ་ཅན			indian deodar
འབྲས་མང་ལྡན			cadamba tree
འབྲས་བུས་སྟོང			empty
འབྲས་ལྡན་ཤིང			fruit tree
འབྲས་བུར་བཅས			fruitful, productive
འབྲས་བུར་སྦྱོར་བ			obtain the fruit
འབྲས་པའི་མཚན་ཉིད			1 of mtshan nyid gsum, characteristic of the fruit which is the state of rig 'dzin achieved on the path of transformation
འབྲས་འགྲུད་པ			grind, crush
འབྲས་དཀར་མོ			white rice
འབྲས་དཀར་སྤངས			ancient town in orissa
འབྲས་བུའི་བོན			Bon of he Fruit, five Bon of the fruit (dge bsnyen theg pa, drang srong theg pa, a dkar theg pa, ye gshen theg pa, yang rtse bla med theg pa)
འབྲས་བུའི་དུས			fruition period
འབྲས་བུའི་གནད			key point of fruition
འབྲས་བུའི་རྟགས			reason based on result
འབྲས་བུའི་ཁྱད་པར་ཀུན			all sorts of fruit
འབྲས་བུའི་ཐེག་པ་ལྔ			5 ways of fruit
འབྲས་བུའི་ཕུང་པོ			coconut
འབྲས་བུའི་དོན་དམ			1 of dkor bdun, subdivided into sku, gsung, thugs, yon tan, phrin las
འབྲས་དང་བ			cleaned or sifted rice
འབྲས་སྤུངས་དང་སེ་ར་ཞོ་སྟོན			the Curd Feast at Drepung and Sera (ceremony on the 30th day of the 6th Tibetan month)
འབྲས་མོ་གཞོང			sikkim
འབྲས་མོ་ལྗོངས			sikkim, sikkim
འབྲེ			place in tibet
འབྲེ་བ			screen off, spread over, envelop
འབྲེ་ཀོ་དེ་ལུང			place in tibet
འབྲེག་པ			cut, cut with scissors, barber, excise, SA 'dreg pa, lop off, prune, amputate, shave, cut the hair
འབྲེལ			"together with" clause connective, the "according to" clause connective, linked to
འབྲེལ་འདྲིས			intercourse
འབྲེལ་འཚུབ			irritable, impatient
འབྲེལ་བ			connection, conjunction, agreement, contact, relation, relationship, related, adhere together, combine, become connected, meet together, alliance, communication, pertain, contact, linked to, combine with
འབྲེལ་གཏམ			gossipings at meeting
འབྲེལ་མེད			single, simple, solitary, unconnected, unrelated, irrelevant, disjointed
འབྲེལ་མཐུད			relay
འབྲེལ་པ			connection, union, conjunction, connection between cause and effect, consequence, efficacy, vascular and nervous system conjunctively, genitive case, small quantity, a little, a bit
འབྲེལ་ཐོགས			connection
འབྲེལ་ཚད			efficacy, all that encounters you, all you encounter, whoever encounters you, whoever has contact with, whomever you meet, enter into contact with, all those with whom one establishes a relation
འབྲེལ་ཚུལ			mode of intercourse, relations, connection with, intercourse between
འབྲེལ་མེད་དུ་སྨྲ			irrelevant speech
འབྲེལ་མེད་དུ་སྨྲ་བ			unconnected talk
འབྲེལ་ཚབས་ཅན			exigent
འབྲེལ་བསྟུན་བྱེད་པ			refer, reference
འབྲེལ་གཏུག་བྱེད་པ			connect, get in touch with, negotiate, take up a matter with, arrange business with
འབྲེལ་ཟླ་མ་དམིགས			(non-affirming) reason of negation by direct relationship
འབྲེལ་ཟླ་མ་དམིགས་པའི་རྟགས			sign which is a non-observation of a related object
འབྲེལ་མཚུངས་པ			fellow religious student
འབྲེལ་པའི་སྒྲ			termination of genitive case
འབྲེལ་ཟབ་པ			together, in company
འབྲེལ་ཐག་གཅོད་པ			cut
འབྲེལ་མཐུད་བྱེད་པ			contact, liaison
འབྲེལ་བ་ཚུལ་ལྡན			correct relationship, pure relationship
འབྲེལ་བ་གཅོད་པ			dissociate
འབྲེལ་བ་བྱེད་པ			connect, get in touch with, contact with, have dealing with, contact, liaison, take up a matter with, arrange business with
འབྲེལ་བ་ཐོབ་ཚད			those with whom one has had contact
འབྲེལ་བ་ཉེ་པོ			intimate
འབྲེལ་བ་ཡོད་པ			relevant
འབྲེལ་པ་དོན་དང་ལྡན			whoever encounters you is fulfilled
འབྲེང་བ			SA 'brang ba
འབྲེང་ཧྲིལ			straps or ropes made of hide thongs twisted together
འབྲེང་པ			leather strap
འབྲེང་ཞགས			bound, connected
འབྲེངས			follow, SA 'brang ba
འབྲི			female yak, ox, cow, bull, write, draw, female yak
འབྲི་བ			write, grow less, draw, note down, diminish, scribe
འབྲི་བྷོ			a mountain
འབྲི་བྱ			writing
འབྲི་ཆུ			a great river also called khams sde dge, Yangtse River
འབྲི་དེབ			notebook
འབྲི་ཁུང			tibetan district ne of dga' ldan
འབྲི་ཁུངས			a monastery
འབྲི་ཀློག			writing & reading
འབྲི་མར			butter of cow yak
འབྲི་མཛོ			hybrid of a common bull and a yak-cow
འབྲི་མཁན			writer
