# form	pos	lemma	sense	freq
འདི་སྙམ་བགྱིད་དེ			think this
འདི་སྙམ་དུ་སེམས			[someone] thinks this
འདི་སྙེད			so much; so many; how much; gain; profit
འདི་ཙམ་གྱིས			by just this; through just this(BJ 40.5)
འདི་ཚོ			these
འདིའི			of this
འདིའི་གོང་ན			higher than this(BJ 29.4)
འདིར			here
འདོད			accept; assert; wish; desire; consider
འདོད་འཇོའི་བ			wish-granting cow
འདོད་ཆགས			[desire-attachment]; desire
འདོད་ཆགས་བྲལ་བ			free from desire
འདོད་ཆགས་ཆེན་པོ			great desire
འདོད་ཆགས་དང་བྲལ་བ			free from desire
འདོད་ཆགས་དང་བྲལ་བ་མེད་པ			not free from desire
འདོད་ཆགས་དང་བྲལ་བའི་ས			ground of freedom from desire
འདོད་ཆགས་དང་བྲལ་བར་འགྱུར་བ			become free from desire
འདོད་ཆགས་དང་བྲལ་བར་བགྱི་བ			become/make free from desire
འདོད་ཆགས་དང་བྲལ་བར་བྱེད			become free from desire
འདོད་ཆགས་དང་མ་བྲལ་བ			not free from desire
འདོད་ཆགས་དང་མ་རིག་པ			desire and ignorance
འདོད་ཆགས་ཀྱི་ཀུན་སྦྱོར			thorough enwrapment of desire
འདོད་ཆགས་ལ་སོགས་པ			desire and so forth
འདོད་ཆགས་མང་བ			much desire
འདོད་ཆགས་མེད་པ			non-desire
འདོད་ཆགས་པ་མེད་ཅིང			non-desire
འདོད་ཆགས་པར་བྱེད			desire
འདོད་ཆགས་སྤྱོད་པ			practice desire
འདོད་ཆགས་སྤྱོད་པའི་སྒྲིབ་པ			the obstructions of practicing desire
འདོད་ཆུང			little desire
འདོད་དགུ			desire
འདོད་དགུ་ཐོབ་པ			obtain what one desires
འདོད་ཁམས			Desire Realm
འདོད་ཁམས་ཀྱི་ལྷ			god of the Desire Realm
འདོད་ཁམས་ཀྱི་ཡོན་ཏན			qualities of the desire realm
འདོད་ལ་མ་ཆགས			not cut off from desire
འདོད་ལྡན			desirous
འདོད་ལྷ			God of Desire; god of the Desire Realm
འདོད་ན			if [that] is accepted ...
འདོད་པ			desire; wish; assert; assertions; accept; consider
འདོད་པ་བསྐྱེད			produce desire
འདོད་པ་བསྐྱེད་པ			produce desire; desire
འདོད་པ་ཅན			desirous
འདོད་པ་ཆུང			little desire
འདོད་པ་ཆུང་བ			having few desires
འདོད་པ་དང་གཟུགས་དང་གཟུགས་མེད་པ་ན་སྤྱོད་པ			deeds in the desire, formm and formless [realms]
འདོད་པ་གཞན་གྱི་དབང་ཉིད			other-powered desire
འདོད་པ་ཇི་ལྟ་བར			as one desires; according to one's wishes
འདོད་པ་ལ་འདུན་པ			aspiration to attributes of the Desire Realm
འདོད་པ་ལ་ལོག་པར་གཡེམ་པར་བྱེད			commit adultery (?)
འདོད་པ་ལ་ལོག་པར་གཡེམ་པར་མི་བྱེད			not commit adultery (?)
འདོད་པ་ལ་ཡོངས་སུ་ལོངས་སྤྱོད་པ			resources with respect to desire
འདོད་པ་མ་མཆིས་པ			non-desire; without desire
འདོད་པ་མེད			non-desire; without desire
འདོད་པ་ན་སྤྱོད་པ			deeds in the desire [realm]
འདོད་པ་ཉུང			little desire
འདོད་པ་ཉུང་པ			little desire
འདོད་པ་ཡིད་ལ་བྱེད་པ			mental contemplation of desire
འདོད་པའི་འབྲས་བུ་དོན་མི་གཉེར			not seek the result of desire
འདོད་པའི་འདོད་ཆགས			desire
འདོད་པའི་འཇིག་ལྟ			view of the transitory collection [of I and mine] within the desire realm(Gön-chok)
འདོད་པའི་འཇིག་རྟེན་པའི་ཉོན་མོངས			worldly desire realm afflictions(PGP 69)
འདོད་པའི་ཁམས			desire realm
འདོད་པའི་ལས་ཅན			having the karma of desire; having desirous actions
འདོད་པའི་རྒྱུ་ཉིད			cause of desire
འདོད་པར་བྱ			desire
འདོད་པར་བྱ་བ			desire; desirable
འདོད་པར་སྐྱེ			produce desire
འདོད་པས་ལོག་པར་གཡེམ་པ			commit adultery (?); sexual misconduct
འདོད་པས་ལོག་པར་སྤྱོད་པ			wrongly engage in desire
འདོད་རྒྱལ			arbitrarily(N)
འདོད་རྒྱལ་དུ་སྐྱེ་བ			arbitrary production; capricious production (literally "production in the manner of wish being dominant")
འདོད་སེམས			desire mind(Gön-chok); Desire Realm mind
འདོད་སེམས་དགུ་པ			ninth mind of the Desire Realm
འདོད་སེམས་དགུ་པའི་ཏིང་ངེ་འཛིན			meditative stabilization of the ninth mind of the Desire Realm
འདོད་ཚུལ			modes of assertion
འདོད་ཡོན			attributes of the desire realm
འདོད་ཡོན་ལ་ཆགས་པ			desire for attributes of the desire realm
འདོགས			impute; designate; to hang; designation(BJ 39.7); imputor [i.e. the consciousness that imputes](BJ)
འདོགས་བྱེད་ཀྱི་ཚད་མ			valid cognition that imputes
འདོགས་པ			imputing; impute; designate; to hang; designation(BJ 39.7); imputor [i.e. the consciousness that imputes]
འདོགས་པ་པོའི་ཐ་སྙད			conventions that are the imputers
འདོགས་པའི་གཞི			basis of imputation(BJ 42.6)
འདོགས་པའི་ཐ་སྙད			verbal conventions that designate(BJ 21.7)
འདོགས་པའི་ཚིག			imputational words; verbal designation
འདོགས་པར་བྱེད			impute; designate; hang
འདོགས་པར་མཛད་དོ			impute; designate; hang
འདོགས་པར་མི་བྱེད			not impute; not designate
འདོམ			six feet [linear measure]
འདོམས			(1) advise; counsel; (2) male genetalia; genitalia
འདོམས་པ			guidance; advise; counsel
འདོན			cause to come out; expel; recite; take out
འདོན་པ			cause to come out; expel; recite; take out
འདོན་པར་འདོད་པ			desire to expel
འདོན་པར་ཡང་བྱེད			recite
